,Rank,State,GDP (in millions of USD)
0,1,Lagos State,33679
1,2,Rivers State,21073
2,3,Delta State,16749
3,4,Oyo State,16121
4,5,Imo State,14212
5,6,Akwa Ibom State,13700
6,7,Kano State,12393
7,8,Edo State,11888
8,9,Ogun State,10470
9,10,Kaduna State,10334
10,11,Cross River State,9292
11,12,Abia State,8687
12,13,Ondo State,8414
13,14,Osun State,7280
14,15,Benue State,6864
15,16,Anambra State,6764
16,17,Katsina State,6022
17,18,Niger State,6002
18,19,Borno State,5175
19,20,Plateau State,5154
20,21,Sokoto State,4818
21,22,Bauchi State,4713
22,23,Kogi State,4642
23,24,Adamawa State,4582
24,25,Enugu State,4396
25,26,Bayelsa State,4337
26,27,Zamfara State,4123
27,28,Kwara State,3841
28,29,Taraba State,3397
29,30,Kebbi State,3290
30,31,Nassarawa State,3022
31,32,Jigawa State,2988
32,33,Ekiti State,2848
33,34,Ebonyi State,2732
34,35,Gombe State,2501
35,36,Yobe State,2011
